PRIVATE OFFICES - COMPLETIONS AND FORECAST COMPLETIONS BY DISTRICT,,,,,,,
District/Sub-districts,District/Sub-districts - Remarks,Completions in 2022 - Grade A,Completions in 2022 - Grade B,Completions in 2022 - Grade C,Completions in 2022 - Total,Forecast Completions in 2023,Forecast Completions in 2024
Central and Western,,-,2400,-,2400,64500,19000
Wan Chai,,-,8500,1000,9500,18500,14400
Eastern,,65500,1300,600,67400,7700,300
Southern,,15000,9900,-,24900,22100,-
HONG KONG,,80500,22100,1600,104200,112800,33700
Yau Tsim Mong,,-,-,-,-,15600,4200
Sham Shui Po,,-,-,-,-,96400,-
Kowloon City,,89200,-,-,89200,9600,10700
Wong Tai Sin,,-,-,-,-,7400,-
Kwun Tong,,67200,17300,100,84600,25400,47800
KOWLOON,,156400,17300,100,173800,154400,62700
Kwai Tsing,,-,-,-,-,-,-
Tsuen Wan,,32000,10900,-,42900,-,9300
Tuen Mun,,-,-,-,-,-,-
Yuen Long,,30400,-,-,30400,-,-
North,,-,-,-,-,-,-
Tai Po,,-,-,-,-,-,-
Sha Tin,,-,-,-,-,-,-
Sai Kung,,-,-,-,-,-,-
Islands,,-,-,-,-,-,-
NEW TERRITORIES,,62400,10900,-,73300,-,9300
OVERALL,,299300,50300,1700,351300,267200,105700
Sheung Wan,S,-,2000,-,2000,1000,12300
Central,S,-,400,-,400,63500,6800
Wan Chai / Causeway Bay,S,-,8500,1000,9500,18500,14400
North Point / Quarry Bay,S,65500,1300,600,67400,7700,300
Tsim Sha Tsui,S,-,-,-,-,8400,2400
Yau Ma Tei / Mong Kok,S,-,-,-,-,7200,1800
