PRIVATE OFFICES - FORECAST COMPLETIONS BY GRADE AND DISTRICT,,,,,,,,,
District/Sub-districts,District/Sub-districts - Remarks,Forecast Completions in 2023 - Grade A,Forecast Completions in 2023 - Grade B,Forecast Completions in 2023 - Grade C,Forecast Completions in 2023 - Total,Forecast Completions in 2024 - Grade A,Forecast Completions in 2024 - Grade B,Forecast Completions in 2024 - Grade C,Forecast Completions in 2024 - Total
Central and Western,,63500,1000,-,64500,11600,7400,-,19000
Wan Chai,,14100,4400,-,18500,12400,1000,1000,14400
Eastern,,6300,-,1400,7700,-,-,300,300
Southern,,22100,-,-,22100,-,-,-,-
HONG KONG,,106000,5400,1400,112800,24000,8400,1300,33700
Yau Tsim Mong,,13100,2500,-,15600,-,4200,-,4200
Sham Shui Po,,96400,-,-,96400,-,-,-,-
Kowloon City,,9600,-,-,9600,10700,-,-,10700
Wong Tai Sin,,7400,-,-,7400,-,-,-,-
Kwun Tong,,18200,7200,-,25400,42600,5200,-,47800
KOWLOON,,144700,9700,-,154400,53300,9400,-,62700
Kwai Tsing,,-,-,-,-,-,-,-,-
Tsuen Wan,,-,-,-,-,9300,-,-,9300
Tuen Mun,,-,-,-,-,-,-,-,-
Yuen Long,,-,-,-,-,-,-,-,-
North,,-,-,-,-,-,-,-,-
Tai Po,,-,-,-,-,-,-,-,-
Sha Tin,,-,-,-,-,-,-,-,-
Sai Kung,,-,-,-,-,-,-,-,-
Islands,,-,-,-,-,-,-,-,-
NEW TERRITORIES,,-,-,-,-,9300,-,-,9300
OVERALL,,250700,15100,1400,267200,86600,17800,1300,105700
Sheung Wan,S,-,1000,-,1000,11600,700,-,12300
Central,S,63500,-,-,63500,-,6800,-,6800
Wan Chai / Causeway Bay,S,14100,4400,-,18500,12400,1000,1000,14400
North Point / Quarry Bay,S,6300,-,1400,7700,-,-,300,300
Tsim Sha Tsui,S,5900,2500,-,8400,-,2400,-,2400
Yau Ma Tei / Mong Kok,S,7200,-,-,7200,-,1800,-,1800
