PRIVATE OFFICES - STOCK AND VACANCY BY GRADE AND DISTRICT,,,,,,,,,,,,,
District/Sub-districts,District/Sub-districts - Remarks,Stock at 2022 year-end - Grade A,Stock at 2022 year-end - Grade B,Stock at 2022 year-end - Grade C,Stock at 2022 year-end - Total,Amount Vacant at 2022 year-end - Grade A,Amount Vacant at 2022 year-end - Grade B,Amount Vacant at 2022 year-end - Grade C,Amount Vacant at 2022 year-end - Total,% Vacant - Grade A,% Vacant - Grade B,% Vacant - Grade C,% Vacant - Total
Central and Western,,1900100,783100,564500,3247700,174600,84300,50400,309300,9.2,10.8,8.9,9.5
Wan Chai,,1007700,605700,309100,1922500,120100,100000,25600,245700,11.9,16.5,8.3,12.8
Eastern,,877500,187300,58800,1123600,170300,28700,4500,203500,19.4,15.3,7.7,18.1
Southern,,238400,93400,21700,353500,34600,23800,2200,60600,14.5,25.5,10.1,17.1
HONG KONG,,4023700,1669500,954100,6647300,499600,236800,82700,819100,12.4,14.2,8.7,12.3
Yau Tsim Mong,,1198000,618500,401400,2217900,167100,63200,24900,255200,13.9,10.2,6.2,11.5
Sham Shui Po,,243800,76500,38600,358900,45000,14000,2100,61100,18.5,18.3,5.4,17
Kowloon City,,244100,41900,20900,306900,113200,-,2700,115900,46.4,-,12.9,37.8
Wong Tai Sin,,33400,47100,1200,81700,11900,4600,200,16700,35.6,9.8,16.7,20.4
Kwun Tong,,1611500,280500,17700,1909700,284800,65700,9400,359900,17.7,23.4,53.1,18.8
KOWLOON,,3330800,1064500,479800,4875100,622000,147500,39300,808800,18.7,13.9,8.2,16.6
Kwai Tsing,,172500,96400,8600,277500,7200,24900,6200,38300,4.2,25.8,72.1,13.8
Tsuen Wan,,182500,75200,800,258500,62300,22600,300,85200,34.1,30.1,37.5,33
Tuen Mun,,32200,20200,6500,58900,1200,12100,800,14100,3.7,59.9,12.3,23.9
Yuen Long,,39600,12900,19000,71500,30400,300,300,31000,76.8,2.3,1.6,43.4
North,,29900,700,500,31100,2900,-,-,2900,9.7,-,-,9.3
Tai Po,,-,5200,1200,6400,-,-,-,-,-,-,-,-
Sha Tin,,491400,19500,-,510900,26100,800,-,26900,5.3,4.1,-,5.3
Sai Kung,,25000,3400,-,28400,17900,200,-,18100,71.6,5.9,-,63.7
Islands,,127900,18900,-,146800,10000,5200,-,15200,7.8,27.5,-,10.4
NEW TERRITORIES,,1101000,252400,36600,1390000,158000,66100,7600,231700,14.4,26.2,20.8,16.7
OVERALL,,8455500,2986400,1470500,12912400,1279600,450400,129600,1859600,15.1,15.1,8.8,14.4
Sheung Wan,S,229200,351500,387100,967800,31400,44800,29400,105600,13.7,12.7,7.6,10.9
Central,S,1627800,381100,161900,2170800,141600,38200,20100,199900,8.7,10,12.4,9.2
Wan Chai / Causeway Bay,S,963500,573800,287700,1825000,111800,97400,23800,233000,11.6,17,8.3,12.8
North Point / Quarry Bay,S,921800,154600,61000,1137400,178600,17100,4000,199700,19.4,11.1,6.6,17.6
Tsim Sha Tsui,S,878500,303200,198300,1380000,132400,25100,12600,170100,15.1,8.3,6.4,12.3
Yau Ma Tei / Mong Kok,S,336700,315400,203100,855200,39700,38000,12300,90000,11.8,12,6.1,10.5
