Date,Precipication_mm,,flood,exposed (mn),displaced (k),killed,duration(days),cause
1/9/2000,52,,6/6/2007,"2,534,434","3,170,000",600,72,Heavy rain
2/9/2000,32,,11/7/2006,"279,592","2,450,000",629,8,"Tropical Storm, Surge"
3/9/2000,20,,23/8/2017,"72,361",0,16,3,"Tropical Storm, Surge"
4/9/2000,13,,21/7/2010,"44,393","15,000",1,2,"Tropical Storm, Surge"
5/9/2000,49,,1/9/2000,18,"46,000",47,5,Heavy rain
11/7/2006,37,,,,,,,
12/7/2006,37,,,,,,,
13/7/2006,31,,,,,,,
14/7/2006,57,,,,,,,
15/7/2006,68,,,,,,,
16/7/2006,52,,,,,,,
17/7/2006,48,,,,,,,
18/7/2006,24,,,,,,,
6/6/2007,24,,,,,,,
7/6/2007,35,,,,,,,
8/6/2007,50,,,,,,,
9/6/2007,46,,,,,,,
10/6/2007,24,,,,,,,
11/6/2007,13,,,,,,,
12/6/2007,28,,,,,,,
13/6/2007,36,,,,,,,
14/6/2007,11,,,,,,,
15/6/2007,10,,,,,,,
16/6/2007,21,,,,,,,
17/6/2007,29,,,,,,,
18/6/2007,27,,,,,,,
19/6/2007,25,,,,,,,
20/6/2007,21,,,,,,,
21/6/2007,23,,,,,,,
22/6/2007,33,,,,,,,
23/6/2007,31,,,,,,,
24/6/2007,31,,,,,,,
25/6/2007,33,,,,,,,
26/6/2007,29,,,,,,,
27/6/2007,25,,,,,,,
28/6/2007,33,,,,,,,
29/6/2007,39,,,,,,,
30/6/2007,26,,,,,,,
1/7/2007,37,,,,,,,
2/7/2007,31,,,,,,,
3/7/2007,32,,,,,,,
4/7/2007,45,,,,,,,
5/7/2007,48,,,,,,,
6/7/2007,19,,,,,,,
7/7/2007,26,,,,,,,
8/7/2007,42,,,,,,,
9/7/2007,38,,,,,,,
10/7/2007,20,,,,,,,
11/7/2007,32,,,,,,,
12/7/2007,35,,,,,,,
13/7/2007,27,,,,,,,
14/7/2007,17,,,,,,,
15/7/2007,18,,,,,,,
16/7/2007,36,,,,,,,
17/7/2007,34,,,,,,,
18/7/2007,64,,,,,,,
19/7/2007,35,,,,,,,
20/7/2007,13,,,,,,,
21/7/2007,10,,,,,,,
22/7/2007,15,,,,,,,
23/7/2007,20,,,,,,,
24/7/2007,24,,,,,,,
25/7/2007,27,,,,,,,
26/7/2007,18,,,,,,,
27/7/2007,16,,,,,,,
28/7/2007,23,,,,,,,
29/7/2007,24,,,,,,,
30/7/2007,20,,,,,,,
31/7/2007,16,,,,,,,
1/8/2007,24,,,,,,,
2/8/2007,43,,,,,,,
3/8/2007,32,,,,,,,
4/8/2007,15,,,,,,,
5/8/2007,16,,,,,,,
6/8/2007,27,,,,,,,
7/8/2007,21,,,,,,,
8/8/2007,40,,,,,,,
9/8/2007,34,,,,,,,
10/8/2007,39,,,,,,,
11/8/2007,35,,,,,,,
12/8/2007,25,,,,,,,
13/8/2007,27,,,,,,,
14/8/2007,11,,,,,,,
15/8/2007,12,,,,,,,
16/8/2007,13,,,,,,,
21/7/2010,27,,,,,,,
22/7/2010,39,,,,,,,
30/5/2014,31,,,,,,,
31/5/2014,21,,,,,,,
1/6/2014,11,,,,,,,
2/6/2014,30,,,,,,,
3/6/2014,53,,,,,,,
4/6/2014,70,,,,,,,
5/6/2014,48,,,,,,,
6/6/2014,30,,,,,,,
7/6/2014,8,,,,,,,
8/6/2014,18,,,,,,,
9/6/2014,29,,,,,,,
23/8/2017,54,,,,,,,
24/8/2017,37,,,,,,,
25/8/2017,23,,,,,,,
